name,search_keyword
阿莫西林颗粒,阿莫西林颗粒 京东大药房
阿莫西林克拉维酸钾片,阿莫西林克拉维酸钾片 京东大药房
头孢呋辛酯片,头孢呋辛酯片 京东大药房
头孢拉定胶囊,头孢拉定胶囊 京东大药房
头孢地尼分散片,头孢地尼分散片 京东大药房
头孢丙烯片,头孢丙烯片 京东大药房
克林霉素胶囊,克林霉素胶囊 京东大药房
甲硝唑芬布芬胶囊,甲硝唑芬布芬胶囊 京东大药房
盐酸多西环素片,盐酸多西环素片 京东大药房
利福平胶囊,利福平胶囊 京东大药房
磷霉素氨丁三醇散,磷霉素氨丁三醇散 京东大药房
盐酸环丙沙星片,盐酸环丙沙星片 京东大药房
红霉素肠溶片,红霉素肠溶片 京东大药房
复方磺胺甲噁唑片,复方磺胺甲噁唑片 京东大药房
盐酸米诺环素胶囊,盐酸米诺环素胶囊 京东大药房
左氧氟沙星滴眼液,左氧氟沙星滴眼液 京东大药房
阿奇霉素干混悬剂,阿奇霉素干混悬剂 京东大药房
替米沙坦片,替米沙坦片 京东大药房
贝那普利片,贝那普利片 京东大药房
依那普利片,依那普利片 京东大药房
氯沙坦钾片,氯沙坦钾片 京东大药房
富马酸比索洛尔片,富马酸比索洛尔片 京东大药房
盐酸普萘洛尔片,盐酸普萘洛尔片 京东大药房
吲达帕胺片,吲达帕胺片 京东大药房
氢氯噻嗪片,氢氯噻嗪片 京东大药房
非洛地平缓释片,非洛地平缓释片 京东大药房
复方利血平氨苯蝶啶片,复方利血平氨苯蝶啶片 京东大药房
瑞舒伐他汀钙片,瑞舒伐他汀钙片 京东大药房
阿托伐他汀钙片,阿托伐他汀钙片 京东大药房
非诺贝特胶囊,非诺贝特胶囊 京东大药房
依折麦布片,依折麦布片 京东大药房
硫酸氢氯吡格雷片,硫酸氢氯吡格雷片 京东大药房
华法林钠片,华法林钠片 京东大药房
尼群地平片,尼群地平片 京东大药房
泮托拉唑钠肠溶片,泮托拉唑钠肠溶片 京东大药房
兰索拉唑肠溶片,兰索拉唑肠溶片 京东大药房
胶体果胶铋胶囊,胶体果胶铋胶囊 京东大药房
硫糖铝咀嚼片,硫糖铝咀嚼片 京东大药房
乳果糖口服溶液,乳果糖口服溶液 京东大药房
开塞露,开塞露 京东大药房
复方谷氨酰胺肠溶胶囊,复方谷氨酰胺肠溶胶囊 京东大药房
马来酸曲美布汀片,马来酸曲美布汀片 京东大药房
匹维溴铵片,匹维溴铵片 京东大药房
酪酸梭菌活菌片,酪酸梭菌活菌片 京东大药房
地衣芽孢杆菌活菌胶囊,地衣芽孢杆菌活菌胶囊 京东大药房
复方黄连素片,复方黄连素片 京东大药房
消旋山莨菪碱片,消旋山莨菪碱片 京东大药房
胃苏颗粒,胃苏颗粒 京东大药房
香砂养胃丸,香砂养胃丸 京东大药房
胃复春片,胃复春片 京东大药房
健胃消食片,健胃消食片 京东大药房
盐酸溴己新片,盐酸溴己新片 京东大药房
桉柠蒎肠溶软胶囊,桉柠蒎肠溶软胶囊 京东大药房
羧甲司坦口服溶液,羧甲司坦口服溶液 京东大药房
盐酸二氧丙嗪片,盐酸二氧丙嗪片 京东大药房
愈美片,愈美片 京东大药房
小儿肺热咳喘口服液,小儿肺热咳喘口服液 京东大药房
鼻渊通窍颗粒,鼻渊通窍颗粒 京东大药房
复方甲氧那明胶囊,复方甲氧那明胶囊 京东大药房
盐酸左西替利嗪片,盐酸左西替利嗪片 京东大药房
糠酸莫米松鼻喷雾剂,糠酸莫米松鼻喷雾剂 京东大药房
异丙托溴铵气雾剂,异丙托溴铵气雾剂 京东大药房
